train,1,2,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,
Batu caves,6:02,6:57,7:27,7:57,8:57,9:57,10:57,12:02,13:07,14:07,15:07,16:07,16:52,17:32,18:02,18:42,19:57,21:10,22:10,
Taman wahyu,6:06,7:01,7:31,8:01,9:01,10:01,11:01,12:06,13:11,14:11,15:11,16:11,16:56,17:36,18:06,18:46,20:01,21:14,22:14,
Kampung batu,6:09,7:04,7:34,8:04,9:04,10:04,11:04,12:09,13:14,14:14,15:14,16:14,16:59,17:39,18:09,18:49,20:04,21:17,22:17,
Batu kentonmen,6:11,7:06,7:36,8:06,9:06,10:06,11:06,12:11,13:16,14:16,15:16,16:16,17:01,17:41,18:11,18:51,20:06,21:19,22:19,
Sentul,6:15,7:10,7:40,8:10,9:10,10:10,11:10,12:15,13:20,14:20,15:20,16:20,17:05,17:45,18:15,18:55,20:10,21:23,22:23,
Putra,6:21,7:16,7:46,8:16,9:16,10:16,11:16,12:21,13:26,14:26,15:26,16:26,17:11,17:51,18:21,19:01,20:16,21:29,22:29,
Bank negara,6:24,7:19,7:49,8:19,9:19,10:19,11:19,12:24,13:29,14:29,15:29,16:29,17:14,17:54,18:24,19:04,20:19,21:32,22:32,
Kuala lumpur,6:28,7:23,7:53,8:23,9:23,10:23,11:23,12:28,13:33,14:33,15:33,16:33,17:18,17:58,18:28,19:08,20:23,21:36,22:36,
Kl sentral,6:33,7:28,7:58,8:28,9:28,10:28,11:28,12:33,13:38,14:38,15:38,16:38,17:28,18:03,18:33,19:13,20:28,21:41,22:41,
Midvalley,6:40,7:35,8:05,8:35,9:35,10:35,11:35,12:40,13:45,14:45,15:45,16:45,17:35,18:10,18:40,19:20,20:35,21:48,22:48,
Seputeh,6:42,7:37,8:07,8:37,9:37,10:37,11:37,12:42,13:47,14:47,15:47,16:47,17:37,18:12,18:42,19:22,20:37,21:50,22:50,
Salak selatan,6:48,7:43,8:13,8:43,9:43,10:43,11:43,12:48,13:53,14:53,15:53,16:53,17:43,18:18,18:48,19:28,20:43,21:56,22:56,
Bandar tasek selatan,6:55,7:50,8:20,8:50,9:50,10:50,11:50,12:55,14:00,15:00,16:00,17:00,17:50,18:25,18:55,19:35,20:50,22:03,23:03,
Serdang,7:03,7:58,8:28,8:58,9:58,10:58,11:58,13:03,14:08,15:08,16:08,17:08,17:58,18:33,19:03,19:43,20:58,22:11,23:11,
Kajang,7:15,8:10,8:40,9:10,10:10,11:10,12:10,13:15,14:20,15:20,16:20,17:20,18:10,18:45,19:15,20:00,21:10,22:23,23:23,
Kajang 2,7:18,8:13,8:43,9:13,10:13,11:13,12:13,13:18,14:23,15:23,16:23,17:23,18:13,18:48,19:18,20:03,21:13,22:26,23:26,
Ukm,7:21,8:16,8:46,9:16,10:16,11:16,12:16,13:21,14:26,15:26,16:26,17:26,18:16,18:51,19:21,20:06,21:16,22:29,23:29,
Bangi,7:35,8:24,8:54,9:24,10:44,11:24,12:24,13:29,14:34,15:34,16:34,17:35,18:24,18:59,19:30,20:15,21:25,22:37,23:37,
Batang benar,7:47,,9:07,,10:57,,12:37,13:42,,15:47,,17:47,18:37,19:12,19:43,20:28,21:38,22:50,23:50,
Nilai,8:01,,9:13,,11:03,,12:50,13:48,,16:00,,18:01,18:43,19:18,19:49,20:34,21:44,22:56,23:56,
Labu,8:08,,9:27,,11:09,,12:57,13:55,,16:07,,18:08,18:50,19:25,19:55,20:41,21:50,23:03,0:03,
Tiroi,8:14,,9:33,,11:36,,13:03,14:01,,16:13,,18:14,18:56,19:31,20:12,20:47,22:04,23:09,0:09,
Seremban,8:22,,9:41,,11:44,,13:11,14:09,,16:21,,18:22,19:04,19:39,20:20,20:55,22:12,23:17,0:17,
Senawang,8:27,,9:46,,11:50,,13:17,14:15,,16:27,,18:27,19:10,19:45,20:25,21:00,22:17,23:23,0:23,
Sungai gadut,8:32,,9:52,,11:55,,13:22,14:20,,16:32,,18:33,19:15,19:50,20:31,21:05,22:22,23:28,0:28,
Rembau,,,10:05,,,,,,,16:45,,18:45,19:28,20:03,20:43,,,,,
Pulau sebang,,,10:21,,,,,,,17:01,,19:02,19:44,20:19,21:00,,,,,
train,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Pulau sebang,5:37,6:02,6:42,,,,,,11:30,,,,,,16:40,,,,,
Rembau,5:54,6:19,6:59,,,,,,11:47,,,,,,16:57,,,,,
Sungai gadut,6:07,6:32,7:12,7:35,,,9:45,11:00,12:00,,14:05,15:10,,16:30,17:10,,,19:40,20:50,21:30
Senawang,6:12,6:37,7:17,7:40,,,9:50,11:05,12:05,,14:10,15:15,,16:35,17:15,,,19:45,20:55,21:35
Seremban,6:18,6:43,7:23,7:46,,,9:56,11:11,12:11,,14:16,15:21,,16:41,17:21,,,19:51,21:01,21:41
Tiroi,6:26,6:51,7:31,7:54,,,10:04,11:19,12:19,,14:24,15:29,,16:49,17:29,,,19:59,21:09,21:49
Labu,6:32,6:57,7:37,8:00,,,10:10,11:25,12:25,,14:30,15:35,,16:55,17:35,,,20:05,21:15,21:55
Nilai,6:42,7:15,7:47,8:19,,,10:20,11:35,12:35,,14:40,15:45,,17:05,17:45,,,20:15,21:25,22:05
Batang benar,6:48,7:21,7:53,8:25,,,10:26,11:41,12:41,,14:46,15:51,,17:11,17:51,,,20:21,21:31,22:11
Bangi,7:01,7:34,8:06,8:38,9:08,9:44,10:39,11:54,12:54,13:54,14:59,16:04,16:54,17:24,18:04,18:49,19:39,20:42,21:52,22:24
Ukm,7:07,7:40,8:12,8:44,9:14,9:50,10:45,12:00,13:00,14:00,15:05,16:10,17:00,17:30,18:10,18:55,19:45,20:48,21:58,22:30
Kajang 2,7:10,7:43,8:15,8:47,9:17,9:53,10:48,12:03,13:03,14:03,15:08,16:13,17:03,17:33,18:13,18:58,19:48,20:51,22:01,22:33
Kajang,7:13,7:46,8:18,8:50,9:20,9:56,10:51,12:06,13:06,14:06,15:11,16:17,17:06,17:36,18:16,19:01,19:51,20:54,22:04,22:36
Serdang,7:25,7:58,8:30,9:02,9:32,10:08,11:03,12:18,13:18,14:18,15:23,16:28,17:18,17:48,18:28,19:13,20:03,21:06,22:16,22:48
Bandar tasek selatan,7:32,8:05,8:37,9:09,9:39,10:15,11:10,12:25,13:25,14:25,15:30,16:35,17:25,17:55,18:35,19:20,20:10,21:13,22:23,22:55
Salak selatan,7:38,8:11,8:43,9:15,9:45,10:20,11:16,12:31,13:31,14:31,15:36,16:42,17:31,18:01,18:41,19:26,20:16,21:19,22:29,23:01
Seputeh,7:43,8:16,8:48,9:20,9:50,10:25,11:21,12:36,13:36,14:36,15:41,16:47,17:36,18:06,18:46,19:31,20:21,21:24,22:34,23:06
Midvalley,7:46,8:19,8:51,9:23,9:53,10:28,11:24,12:39,13:39,14:39,15:44,16:49,17:39,18:09,18:49,19:34,20:24,21:27,22:37,23:09
Kl sentral,7:53,8:26,8:58,9:30,10:00,10:35,11:31,12:46,13:46,14:46,15:51,16:56,17:46,18:16,18:56,19:41,20:31,21:34,22:44,23:17
Kuala lumpur,7:57,8:30,9:02,9:34,10:04,10:39,11:35,12:50,13:50,14:50,15:55,17:00,17:50,18:20,19:00,19:45,20:35,21:38,22:48,23:21
Bank negara,8:01,8:34,9:06,9:38,10:08,10:43,11:39,12:54,13:54,14:54,15:59,17:04,17:54,18:24,19:04,19:49,20:39,21:42,22:52,23:25
Putra,8:04,8:37,9:09,9:41,10:11,10:46,11:42,12:57,13:57,14:57,16:02,17:07,17:57,18:27,19:07,19:52,20:42,21:45,22:55,23:28
Sentul,8:15,8:45,9:15,9:47,10:17,10:52,11:52,13:03,14:03,15:03,16:08,17:13,18:03,18:33,19:13,19:58,20:48,21:51,23:01,23:34
Batu kentonmen,8:19,8:49,9:19,9:51,10:21,10:56,11:56,13:07,14:07,15:07,16:12,17:17,18:07,18:37,19:17,20:02,20:52,21:55,23:05,23:38
Kampung batu,8:21,8:51,9:21,9:53,10:23,10:58,11:58,13:09,14:09,15:09,16:14,17:19,18:09,18:39,19:19,20:04,20:54,21:57,23:07,23:40
Taman wahyu,8:23,8:53,9:23,9:55,10:25,11:00,12:00,13:11,14:11,15:11,16:16,17:22,18:11,18:41,19:21,20:06,20:56,21:59,23:09,23:42
Batu caves,8:27,8:57,9:27,9:59,10:29,11:04,12:04,13:15,14:15,15:15,16:20,17:26,18:15,18:45,19:25,20:10,21:00,22:03,23:13,23:46
